"firstname","count","district","sex","strata"
"Marie",111,"charlottenburg-wilmersdorf","f","f-Marie"
"Sophie",105,"charlottenburg-wilmersdorf","f","f-Sophie"
"Charlotte",73,"charlottenburg-wilmersdorf","f","f-Charlotte"
"Emilia",73,"charlottenburg-wilmersdorf","f","f-Emilia"
"Alexander",68,"charlottenburg-wilmersdorf","m","m-Alexander"
"Maria",65,"charlottenburg-wilmersdorf","f","f-Maria"
"Elias",54,"charlottenburg-wilmersdorf","m","m-Elias"
"Noah",54,"charlottenburg-wilmersdorf","m","m-Noah"
"Maximilian",53,"charlottenburg-wilmersdorf","m","m-Maximilian"
"Paul",51,"charlottenburg-wilmersdorf","m","m-Paul"
"Johanna",50,"charlottenburg-wilmersdorf","f","f-Johanna"
"Luise",49,"charlottenburg-wilmersdorf","f","f-Luise"
"Felix",47,"charlottenburg-wilmersdorf","m","m-Felix"
"Sophia",47,"charlottenburg-wilmersdorf","f","f-Sophia"
"Elisabeth",45,"charlottenburg-wilmersdorf","f","f-Elisabeth"
"Ali",41,"charlottenburg-wilmersdorf","m","m-Ali"
"Leon",38,"charlottenburg-wilmersdorf","m","m-Leon"
"Mia",38,"charlottenburg-wilmersdorf","f","f-Mia"
"Anton",37,"charlottenburg-wilmersdorf","m","m-Anton"
"Jonathan",37,"charlottenburg-wilmersdorf","m","m-Jonathan"
"Anna",36,"charlottenburg-wilmersdorf","f","f-Anna"
"Emil",35,"charlottenburg-wilmersdorf","m","m-Emil"
"Johann",33,"charlottenburg-wilmersdorf","m","m-Johann"
"Clara",33,"charlottenburg-wilmersdorf","f","f-Clara"
"David",32,"charlottenburg-wilmersdorf","m","m-David"
"Jakob",32,"charlottenburg-wilmersdorf","m","m-Jakob"
"Theodor",32,"charlottenburg-wilmersdorf","m","m-Theodor"
"Luisa",31,"charlottenburg-wilmersdorf","f","f-Luisa"
"Julian",31,"charlottenburg-wilmersdorf","m","m-Julian"
"Leonard",31,"charlottenburg-wilmersdorf","m","m-Leonard"
"Ida",30,"charlottenburg-wilmersdorf","f","f-Ida"
"Mila",30,"charlottenburg-wilmersdorf","f","f-Mila"
"Oskar",30,"charlottenburg-wilmersdorf","m","m-Oskar"
"Emma",29,"charlottenburg-wilmersdorf","f","f-Emma"
"Friedrich",29,"charlottenburg-wilmersdorf","m","m-Friedrich"
"Karl",29,"charlottenburg-wilmersdorf","m","m-Karl"
"Helena",27,"charlottenburg-wilmersdorf","f","f-Helena"
"Adam",27,"charlottenburg-wilmersdorf","m","m-Adam"
"Jonas",27,"charlottenburg-wilmersdorf","m","m-Jonas"
"Konstantin",27,"charlottenburg-wilmersdorf","m","m-Konstantin"
"Julius",26,"charlottenburg-wilmersdorf","m","m-Julius"
"Liam",26,"charlottenburg-wilmersdorf","m","m-Liam"
"Lina",25,"charlottenburg-wilmersdorf","f","f-Lina"
"Henri",25,"charlottenburg-wilmersdorf","m","m-Henri"
"Theo",25,"charlottenburg-wilmersdorf","m","m-Theo"
"Lea",24,"charlottenburg-wilmersdorf","f","f-Lea"
"Marlene",24,"charlottenburg-wilmersdorf","f","f-Marlene"
"Benjamin",24,"charlottenburg-wilmersdorf","m","m-Benjamin"
"Moritz",24,"charlottenburg-wilmersdorf","m","m-Moritz"
"Elisa",23,"charlottenburg-wilmersdorf","f","f-Elisa"
"Leonie",23,"charlottenburg-wilmersdorf","f","f-Leonie"
"Johannes",23,"charlottenburg-wilmersdorf","m","m-Johannes"
"Joshua",23,"charlottenburg-wilmersdorf","m","m-Joshua"
"Amelie",22,"charlottenburg-wilmersdorf","f","f-Amelie"
"Katharina",22,"charlottenburg-wilmersdorf","f","f-Katharina"
"Victoria",22,"charlottenburg-wilmersdorf","f","f-Victoria"
"Louis",22,"charlottenburg-wilmersdorf","m","m-Louis"
"Samuel",22,"charlottenburg-wilmersdorf","m","m-Samuel"
"Helene",21,"charlottenburg-wilmersdorf","f","f-Helene"
"Josephine",21,"charlottenburg-wilmersdorf","f","f-Josephine"
"Mira",21,"charlottenburg-wilmersdorf","f","f-Mira"
"Sarah",21,"charlottenburg-wilmersdorf","f","f-Sarah"
"Daniel",21,"charlottenburg-wilmersdorf","m","m-Daniel"
"Frederik",21,"charlottenburg-wilmersdorf","m","m-Frederik"
"Leo",21,"charlottenburg-wilmersdorf","m","m-Leo"
"Luca",21,"charlottenburg-wilmersdorf","m","m-Luca"
"Milan",21,"charlottenburg-wilmersdorf","m","m-Milan"
"Valentin",21,"charlottenburg-wilmersdorf","m","m-Valentin"
"Ella",20,"charlottenburg-wilmersdorf","f","f-Ella"
"Sofia",20,"charlottenburg-wilmersdorf","f","f-Sofia"
"Linus",20,"charlottenburg-wilmersdorf","m","m-Linus"
"Lukas",20,"charlottenburg-wilmersdorf","m","m-Lukas"
"Michael",20,"charlottenburg-wilmersdorf","m","m-Michael"
"Philipp",20,"charlottenburg-wilmersdorf","m","m-Philipp"
"Ava",19,"charlottenburg-wilmersdorf","f","f-Ava"
"Hannah",19,"charlottenburg-wilmersdorf","f","f-Hannah"
"Isabella",19,"charlottenburg-wilmersdorf","f","f-Isabella"
"Lia",19,"charlottenburg-wilmersdorf","f","f-Lia"
"Pauline",19,"charlottenburg-wilmersdorf","f","f-Pauline"
"Carl",19,"charlottenburg-wilmersdorf","m","m-Carl"
"Luis",19,"charlottenburg-wilmersdorf","m","m-Luis"
"Niklas",19,"charlottenburg-wilmersdorf","m","m-Niklas"
"Vincent",19,"charlottenburg-wilmersdorf","m","m-Vincent"
"Ela",18,"charlottenburg-wilmersdorf","f","f-Ela"
"Greta",18,"charlottenburg-wilmersdorf","f","f-Greta"
"Hanna",18,"charlottenburg-wilmersdorf","f","f-Hanna"
"Laura",18,"charlottenburg-wilmersdorf","f","f-Laura"
"Lena",18,"charlottenburg-wilmersdorf","f","f-Lena"
"Nora",18,"charlottenburg-wilmersdorf","f","f-Nora"
"Constantin",18,"charlottenburg-wilmersdorf","m","m-Constantin"
"Georg",18,"charlottenburg-wilmersdorf","m","m-Georg"
"Alexandra",17,"charlottenburg-wilmersdorf","f","f-Alexandra"
"Frida",17,"charlottenburg-wilmersdorf","f","f-Frida"
"Julia",17,"charlottenburg-wilmersdorf","f","f-Julia"
"Martha",17,"charlottenburg-wilmersdorf","f","f-Martha"
"Theresa",17,"charlottenburg-wilmersdorf","f","f-Theresa"
"Ben",17,"charlottenburg-wilmersdorf","m","m-Ben"
"Jan",17,"charlottenburg-wilmersdorf","m","m-Jan"
"Justus",17,"charlottenburg-wilmersdorf","m","m-Justus"
"Tim",17,"charlottenburg-wilmersdorf","m","m-Tim"
"Emily",16,"charlottenburg-wilmersdorf","f","f-Emily"
"Maja",16,"charlottenburg-wilmersdorf","f","f-Maja"
"Paula",16,"charlottenburg-wilmersdorf","f","f-Paula"
"August",16,"charlottenburg-wilmersdorf","m","m-August"
"Caspar",16,"charlottenburg-wilmersdorf","m","m-Caspar"
"Leopold",16,"charlottenburg-wilmersdorf","m","m-Leopold"
"Levi",16,"charlottenburg-wilmersdorf","m","m-Levi"
"Milo",16,"charlottenburg-wilmersdorf","m","m-Milo"
"Simon",16,"charlottenburg-wilmersdorf","m","m-Simon"
"Mina",15,"charlottenburg-wilmersdorf","f","f-Mina"
"Rosa",15,"charlottenburg-wilmersdorf","f","f-Rosa"
"Arthur",15,"charlottenburg-wilmersdorf","m","m-Arthur"
"Christian",15,"charlottenburg-wilmersdorf","m","m-Christian"
"Ferdinand",15,"charlottenburg-wilmersdorf","m","m-Ferdinand"
"Gabriel",15,"charlottenburg-wilmersdorf","m","m-Gabriel"
"Henry",15,"charlottenburg-wilmersdorf","m","m-Henry"
"Matteo",15,"charlottenburg-wilmersdorf","m","m-Matteo"
"Otto",15,"charlottenburg-wilmersdorf","m","m-Otto"
"Raphael",15,"charlottenburg-wilmersdorf","m","m-Raphael"
"Elif",14,"charlottenburg-wilmersdorf","f","f-Elif"
"Frieda",14,"charlottenburg-wilmersdorf","f","f-Frieda"
"Lara",14,"charlottenburg-wilmersdorf","f","f-Lara"
"Lotte",14,"charlottenburg-wilmersdorf","f","f-Lotte"
"Louisa",14,"charlottenburg-wilmersdorf","f","f-Louisa"
"Louise",14,"charlottenburg-wilmersdorf","f","f-Louise"
"Mathilda",14,"charlottenburg-wilmersdorf","f","f-Mathilda"
"Finn",14,"charlottenburg-wilmersdorf","m","m-Finn"
"Jasper",14,"charlottenburg-wilmersdorf","m","m-Jasper"
"Leander",14,"charlottenburg-wilmersdorf","m","m-Leander"
"Martin",14,"charlottenburg-wilmersdorf","m","m-Martin"
"Max",14,"charlottenburg-wilmersdorf","m","m-Max"
"Noel",14,"charlottenburg-wilmersdorf","m","m-Noel"
"Oliver",14,"charlottenburg-wilmersdorf","m","m-Oliver"
"Richard",14,"charlottenburg-wilmersdorf","m","m-Richard"
"Thomas",14,"charlottenburg-wilmersdorf","m","m-Thomas"
"Alma",13,"charlottenburg-wilmersdorf","f","f-Alma"
"Amalia",13,"charlottenburg-wilmersdorf","f","f-Amalia"
"Carlotta",13,"charlottenburg-wilmersdorf","f","f-Carlotta"
"Klara",13,"charlottenburg-wilmersdorf","f","f-Klara"
"Luna",13,"charlottenburg-wilmersdorf","f","f-Luna"
"Magdalena",13,"charlottenburg-wilmersdorf","f","f-Magdalena"
"Maya",13,"charlottenburg-wilmersdorf","f","f-Maya"
"Olivia",13,"charlottenburg-wilmersdorf","f","f-Olivia"
"Zoe",13,"charlottenburg-wilmersdorf","f","f-Zoe"
"Aaron",13,"charlottenburg-wilmersdorf","m","m-Aaron"
"Adrian",13,"charlottenburg-wilmersdorf","m","m-Adrian"
"Amir",13,"charlottenburg-wilmersdorf","m","m-Amir"
"Fabian",13,"charlottenburg-wilmersdorf","m","m-Fabian"
"Ada",12,"charlottenburg-wilmersdorf","f","f-Ada"
"Antonia",12,"charlottenburg-wilmersdorf","f","f-Antonia"
"Eva",12,"charlottenburg-wilmersdorf","f","f-Eva"
"Lotta",12,"charlottenburg-wilmersdorf","f","f-Lotta"
"Viktoria",12,"charlottenburg-wilmersdorf","f","f-Viktoria"
"Antonio",12,"charlottenburg-wilmersdorf","m","m-Antonio"
"Erik",12,"charlottenburg-wilmersdorf","m","m-Erik"
"Malik",12,"charlottenburg-wilmersdorf","m","m-Malik"
"Oscar",12,"charlottenburg-wilmersdorf","m","m-Oscar"
"Rafael",12,"charlottenburg-wilmersdorf","m","m-Rafael"
"Wilhelm",12,"charlottenburg-wilmersdorf","m","m-Wilhelm"
"Yasin",12,"charlottenburg-wilmersdorf","m","m-Yasin"
"Alicia",11,"charlottenburg-wilmersdorf","f","f-Alicia"
"Anouk",11,"charlottenburg-wilmersdorf","f","f-Anouk"
"Leyla",11,"charlottenburg-wilmersdorf","f","f-Leyla"
"Matilda",11,"charlottenburg-wilmersdorf","f","f-Matilda"
"Nur",11,"charlottenburg-wilmersdorf","f","f-Nur"
"Valentina",11,"charlottenburg-wilmersdorf","f","f-Valentina"
"Edgar",11,"charlottenburg-wilmersdorf","m","m-Edgar"
"Emilian",11,"charlottenburg-wilmersdorf","m","m-Emilian"
"Jonah",11,"charlottenburg-wilmersdorf","m","m-Jonah"
"Leonardo",11,"charlottenburg-wilmersdorf","m","m-Leonardo"
"Alva",10,"charlottenburg-wilmersdorf","f","f-Alva"
"Anni",10,"charlottenburg-wilmersdorf","f","f-Anni"
"Josefine",10,"charlottenburg-wilmersdorf","f","f-Josefine"
"Lilly",10,"charlottenburg-wilmersdorf","f","f-Lilly"
"Livia",10,"charlottenburg-wilmersdorf","f","f-Livia"
"Mara",10,"charlottenburg-wilmersdorf","f","f-Mara"
"Paulina",10,"charlottenburg-wilmersdorf","f","f-Paulina"
"Romy",10,"charlottenburg-wilmersdorf","f","f-Romy"
"Florian",10,"charlottenburg-wilmersdorf","m","m-Florian"
"Fynn",10,"charlottenburg-wilmersdorf","m","m-Fynn"
"Johan",10,"charlottenburg-wilmersdorf","m","m-Johan"
"Kasimir",10,"charlottenburg-wilmersdorf","m","m-Kasimir"
"Lasse",10,"charlottenburg-wilmersdorf","m","m-Lasse"
"Mats",10,"charlottenburg-wilmersdorf","m","m-Mats"
"Omar",10,"charlottenburg-wilmersdorf","m","m-Omar"
"Pepe",10,"charlottenburg-wilmersdorf","m","m-Pepe"
"Alice",9,"charlottenburg-wilmersdorf","f","f-Alice"
"Amina",9,"charlottenburg-wilmersdorf","f","f-Amina"
"Elena",9,"charlottenburg-wilmersdorf","f","f-Elena"
"Elise",9,"charlottenburg-wilmersdorf","f","f-Elise"
"Florentine",9,"charlottenburg-wilmersdorf","f","f-Florentine"
"Liv",9,"charlottenburg-wilmersdorf","f","f-Liv"
"Miray",9,"charlottenburg-wilmersdorf","f","f-Miray"
"Nele",9,"charlottenburg-wilmersdorf","f","f-Nele"
"Noemi",9,"charlottenburg-wilmersdorf","f","f-Noemi"
"Sara",9,"charlottenburg-wilmersdorf","f","f-Sara"
"Ahmad",9,"charlottenburg-wilmersdorf","m","m-Ahmad"
"Amin",9,"charlottenburg-wilmersdorf","m","m-Amin"
"Artur",9,"charlottenburg-wilmersdorf","m","m-Artur"
"Benno",9,"charlottenburg-wilmersdorf","m","m-Benno"
"Jacob",9,"charlottenburg-wilmersdorf","m","m-Jacob"
"Joris",9,"charlottenburg-wilmersdorf","m","m-Joris"
"Kian",9,"charlottenburg-wilmersdorf","m","m-Kian"
"Levin",9,"charlottenburg-wilmersdorf","m","m-Levin"
"Mattis",9,"charlottenburg-wilmersdorf","m","m-Mattis"
"Tom",9,"charlottenburg-wilmersdorf","m","m-Tom"
"Alisa",8,"charlottenburg-wilmersdorf","f","f-Alisa"
"Aurora",8,"charlottenburg-wilmersdorf","f","f-Aurora"
"Barbara",8,"charlottenburg-wilmersdorf","f","f-Barbara"
"Cosima",8,"charlottenburg-wilmersdorf","f","f-Cosima"
"Edda",8,"charlottenburg-wilmersdorf","f","f-Edda"
"Fatima",8,"charlottenburg-wilmersdorf","f","f-Fatima"
"Felicitas",8,"charlottenburg-wilmersdorf","f","f-Felicitas"
"Lisa",8,"charlottenburg-wilmersdorf","f","f-Lisa"
"Liya",8,"charlottenburg-wilmersdorf","f","f-Liya"
"Lou",8,"charlottenburg-wilmersdorf","f","f-Lou"
"Rosalie",8,"charlottenburg-wilmersdorf","f","f-Rosalie"
"Sofie",8,"charlottenburg-wilmersdorf","f","f-Sofie"
"Can",8,"charlottenburg-wilmersdorf","m","m-Can"
"Stella",8,"charlottenburg-wilmersdorf","f","f-Stella"
"Damian",8,"charlottenburg-wilmersdorf","m","m-Damian"
"Emilio",8,"charlottenburg-wilmersdorf","m","m-Emilio"
"Jannis",8,"charlottenburg-wilmersdorf","m","m-Jannis"
"Jona",8,"charlottenburg-wilmersdorf","m","m-Jona"
"Kilian",8,"charlottenburg-wilmersdorf","m","m-Kilian"
"Ludwig",8,"charlottenburg-wilmersdorf","m","m-Ludwig"
"Maria",8,"charlottenburg-wilmersdorf","m","m-Maria"
"Mateo",8,"charlottenburg-wilmersdorf","m","m-Mateo"
"Maxim",8,"charlottenburg-wilmersdorf","m","m-Maxim"
"Mika",8,"charlottenburg-wilmersdorf","m","m-Mika"
"Mohammad",8,"charlottenburg-wilmersdorf","m","m-Mohammad"
"Muhammed",8,"charlottenburg-wilmersdorf","m","m-Muhammed"
"Ole",8,"charlottenburg-wilmersdorf","m","m-Ole"
"Robert",8,"charlottenburg-wilmersdorf","m","m-Robert"
"Sebastian",8,"charlottenburg-wilmersdorf","m","m-Sebastian"
"Alessia",7,"charlottenburg-wilmersdorf","f","f-Alessia"
"Alina",7,"charlottenburg-wilmersdorf","f","f-Alina"
"Amelia",7,"charlottenburg-wilmersdorf","f","f-Amelia"
"Carla",7,"charlottenburg-wilmersdorf","f","f-Carla"
"Christina",7,"charlottenburg-wilmersdorf","f","f-Christina"
"Eleonore",7,"charlottenburg-wilmersdorf","f","f-Eleonore"
"Emilie",7,"charlottenburg-wilmersdorf","f","f-Emilie"
"Isabel",7,"charlottenburg-wilmersdorf","f","f-Isabel"
"Jasmin",7,"charlottenburg-wilmersdorf","f","f-Jasmin"
"Julie",7,"charlottenburg-wilmersdorf","f","f-Julie"
"Leni",7,"charlottenburg-wilmersdorf","f","f-Leni"
"Lola",7,"charlottenburg-wilmersdorf","f","f-Lola"
"Meryem",7,"charlottenburg-wilmersdorf","f","f-Meryem"
"Milena",7,"charlottenburg-wilmersdorf","f","f-Milena"
"Nina",7,"charlottenburg-wilmersdorf","f","f-Nina"
"Bruno",7,"charlottenburg-wilmersdorf","m","m-Bruno"
"Rose",7,"charlottenburg-wilmersdorf","f","f-Rose"
"Elyas",7,"charlottenburg-wilmersdorf","m","m-Elyas"
"Valerie",7,"charlottenburg-wilmersdorf","f","f-Valerie"
"Gustav",7,"charlottenburg-wilmersdorf","m","m-Gustav"
"Ibrahim",7,"charlottenburg-wilmersdorf","m","m-Ibrahim"
"Ilyas",7,"charlottenburg-wilmersdorf","m","m-Ilyas"
"James",7,"charlottenburg-wilmersdorf","m","m-James"
"Jannik",7,"charlottenburg-wilmersdorf","m","m-Jannik"
"John",7,"charlottenburg-wilmersdorf","m","m-John"
"Leonhard",7,"charlottenburg-wilmersdorf","m","m-Leonhard"
"Lucas",7,"charlottenburg-wilmersdorf","m","m-Lucas"
"Manuel",7,"charlottenburg-wilmersdorf","m","m-Manuel"
"Nicolas",7,"charlottenburg-wilmersdorf","m","m-Nicolas"
"Peter",7,"charlottenburg-wilmersdorf","m","m-Peter"
"Victor",7,"charlottenburg-wilmersdorf","m","m-Victor"
"Annabelle",6,"charlottenburg-wilmersdorf","f","f-Annabelle"
"Aurelia",6,"charlottenburg-wilmersdorf","f","f-Aurelia"
"Azra",6,"charlottenburg-wilmersdorf","f","f-Azra"
"Cleo",6,"charlottenburg-wilmersdorf","f","f-Cleo"
"Daria",6,"charlottenburg-wilmersdorf","f","f-Daria"
"Defne",6,"charlottenburg-wilmersdorf","f","f-Defne"
"Elin",6,"charlottenburg-wilmersdorf","f","f-Elin"
"Finja",6,"charlottenburg-wilmersdorf","f","f-Finja"
"Friederike",6,"charlottenburg-wilmersdorf","f","f-Friederike"
"Grace",6,"charlottenburg-wilmersdorf","f","f-Grace"
"Henriette",6,"charlottenburg-wilmersdorf","f","f-Henriette"
"Ingrid",6,"charlottenburg-wilmersdorf","f","f-Ingrid"
"Andreas",6,"charlottenburg-wilmersdorf","m","m-Andreas"
"Karlotta",6,"charlottenburg-wilmersdorf","f","f-Karlotta"
"Aslan",6,"charlottenburg-wilmersdorf","m","m-Aslan"
"Lilli",6,"charlottenburg-wilmersdorf","f","f-Lilli"
"Bennet",6,"charlottenburg-wilmersdorf","m","m-Bennet"
"Lucia",6,"charlottenburg-wilmersdorf","f","f-Lucia"
"Eric",6,"charlottenburg-wilmersdorf","m","m-Eric"
"Malia",6,"charlottenburg-wilmersdorf","f","f-Malia"
"Franz",6,"charlottenburg-wilmersdorf","m","m-Franz"
"Mariam",6,"charlottenburg-wilmersdorf","f","f-Mariam"
"Hamza",6,"charlottenburg-wilmersdorf","m","m-Hamza"
"Marianne",6,"charlottenburg-wilmersdorf","f","f-Marianne"
"Hannes",6,"charlottenburg-wilmersdorf","m","m-Hannes"
"Martina",6,"charlottenburg-wilmersdorf","f","f-Martina"
"Hans",6,"charlottenburg-wilmersdorf","m","m-Hans"
"Mathilde",6,"charlottenburg-wilmersdorf","f","f-Mathilde"
"Hassan",6,"charlottenburg-wilmersdorf","m","m-Hassan"
"Michaela",6,"charlottenburg-wilmersdorf","f","f-Michaela"
"Hendrik",6,"charlottenburg-wilmersdorf","m","m-Hendrik"
"Pia",6,"charlottenburg-wilmersdorf","f","f-Pia"
"Henrik",6,"charlottenburg-wilmersdorf","m","m-Henrik"
"Rebecca",6,"charlottenburg-wilmersdorf","f","f-Rebecca"
"Jannes",6,"charlottenburg-wilmersdorf","m","m-Jannes"
"Ronja",6,"charlottenburg-wilmersdorf","f","f-Ronja"
"Juri",6,"charlottenburg-wilmersdorf","m","m-Juri"
"Su",6,"charlottenburg-wilmersdorf","f","f-Su"
"Kaan",6,"charlottenburg-wilmersdorf","m","m-Kaan"
"Tilda",6,"charlottenburg-wilmersdorf","f","f-Tilda"
"Karim",6,"charlottenburg-wilmersdorf","m","m-Karim"
"Valeria",6,"charlottenburg-wilmersdorf","f","f-Valeria"
"Konrad",6,"charlottenburg-wilmersdorf","m","m-Konrad"
"Kurt",6,"charlottenburg-wilmersdorf","m","m-Kurt"
"Lian",6,"charlottenburg-wilmersdorf","m","m-Lian"
"Lias",6,"charlottenburg-wilmersdorf","m","m-Lias"
"Marc",6,"charlottenburg-wilmersdorf","m","m-Marc"
"Matheo",6,"charlottenburg-wilmersdorf","m","m-Matheo"
"Mio",6,"charlottenburg-wilmersdorf","m","m-Mio"
"Nathan",6,"charlottenburg-wilmersdorf","m","m-Nathan"
"Nikolas",6,"charlottenburg-wilmersdorf","m","m-Nikolas"
"Philip",6,"charlottenburg-wilmersdorf","m","m-Philip"
"Yusuf",6,"charlottenburg-wilmersdorf","m","m-Yusuf"
"Ana",5,"charlottenburg-wilmersdorf","f","f-Ana"
"Anastasia",5,"charlottenburg-wilmersdorf","f","f-Anastasia"
"Angela",5,"charlottenburg-wilmersdorf","f","f-Angela"
"Anne",5,"charlottenburg-wilmersdorf","f","f-Anne"
"Ayla",5,"charlottenburg-wilmersdorf","f","f-Ayla"
"Bella",5,"charlottenburg-wilmersdorf","f","f-Bella"
"Elli",5,"charlottenburg-wilmersdorf","f","f-Elli"
"Flora",5,"charlottenburg-wilmersdorf","f","f-Flora"
"Franziska",5,"charlottenburg-wilmersdorf","f","f-Franziska"
"Gisela",5,"charlottenburg-wilmersdorf","f","f-Gisela"
"Joy",5,"charlottenburg-wilmersdorf","f","f-Joy"
"Albert",5,"charlottenburg-wilmersdorf","m","m-Albert"
"Juna",5,"charlottenburg-wilmersdorf","f","f-Juna"
"Aras",5,"charlottenburg-wilmersdorf","m","m-Aras"
"Luca",5,"charlottenburg-wilmersdorf","f","f-Luca"
"Benedikt",5,"charlottenburg-wilmersdorf","m","m-Benedikt"
"Marla",5,"charlottenburg-wilmersdorf","f","f-Marla"
"Carlo",5,"charlottenburg-wilmersdorf","m","m-Carlo"
"Marlen",5,"charlottenburg-wilmersdorf","f","f-Marlen"
"Charles",5,"charlottenburg-wilmersdorf","m","m-Charles"
"Melina",5,"charlottenburg-wilmersdorf","f","f-Melina"
"Deniz",5,"charlottenburg-wilmersdorf","m","m-Deniz"
"Merle",5,"charlottenburg-wilmersdorf","f","f-Merle"
"Dominik",5,"charlottenburg-wilmersdorf","m","m-Dominik"
"qizi",5,"charlottenburg-wilmersdorf","f","f-qizi"
"Eduard",5,"charlottenburg-wilmersdorf","m","m-Eduard"
"Selin",5,"charlottenburg-wilmersdorf","f","f-Selin"
"Ege",5,"charlottenburg-wilmersdorf","m","m-Ege"
"Sonja",5,"charlottenburg-wilmersdorf","f","f-Sonja"
"Ensar",5,"charlottenburg-wilmersdorf","m","m-Ensar"
"Thea",5,"charlottenburg-wilmersdorf","f","f-Thea"
"Fritz",5,"charlottenburg-wilmersdorf","m","m-Fritz"
"Vanessa",5,"charlottenburg-wilmersdorf","f","f-Vanessa"
"Heinrich",5,"charlottenburg-wilmersdorf","m","m-Heinrich"
"Yasmin",5,"charlottenburg-wilmersdorf","f","f-Yasmin"
"Hugo",5,"charlottenburg-wilmersdorf","m","m-Hugo"
"Yuna",5,"charlottenburg-wilmersdorf","f","f-Yuna"
"Hussein",5,"charlottenburg-wilmersdorf","m","m-Hussein"
"Zahra",5,"charlottenburg-wilmersdorf","f","f-Zahra"
"Jamal",5,"charlottenburg-wilmersdorf","m","m-Jamal"
"Zeynep",5,"charlottenburg-wilmersdorf","f","f-Zeynep"
"Joel",5,"charlottenburg-wilmersdorf","m","m-Joel"
"Jonte",5,"charlottenburg-wilmersdorf","m","m-Jonte"
"Kai",5,"charlottenburg-wilmersdorf","m","m-Kai"
"Lennart",5,"charlottenburg-wilmersdorf","m","m-Lennart"
"Lennox",5,"charlottenburg-wilmersdorf","m","m-Lennox"
"Leonas",5,"charlottenburg-wilmersdorf","m","m-Leonas"
"Leonidas",5,"charlottenburg-wilmersdorf","m","m-Leonidas"
"Lorenz",5,"charlottenburg-wilmersdorf","m","m-Lorenz"
"Luka",5,"charlottenburg-wilmersdorf","m","m-Luka"
"Matthias",5,"charlottenburg-wilmersdorf","m","m-Matthias"
"Mehmet",5,"charlottenburg-wilmersdorf","m","m-Mehmet"
"Mohamed",5,"charlottenburg-wilmersdorf","m","m-Mohamed"
"Mohammed",5,"charlottenburg-wilmersdorf","m","m-Mohammed"
"Nepomuk",5,"charlottenburg-wilmersdorf","m","m-Nepomuk"
"Nuri",5,"charlottenburg-wilmersdorf","m","m-Nuri"
"Robin",5,"charlottenburg-wilmersdorf","m","m-Robin"
"Rudolf",5,"charlottenburg-wilmersdorf","m","m-Rudolf"
"Rüzgar",5,"charlottenburg-wilmersdorf","m","m-Rüzgar"
"Timo",5,"charlottenburg-wilmersdorf","m","m-Timo"
"Timur",5,"charlottenburg-wilmersdorf","m","m-Timur"
"Tobias",5,"charlottenburg-wilmersdorf","m","m-Tobias"
"Vito",5,"charlottenburg-wilmersdorf","m","m-Vito"
"Yassin",5,"charlottenburg-wilmersdorf","m","m-Yassin"
"Ömer",5,"charlottenburg-wilmersdorf","m","m-Ömer"
"Amalie",4,"charlottenburg-wilmersdorf","f","f-Amalie"
"Amilia",4,"charlottenburg-wilmersdorf","f","f-Amilia"
"Annette",4,"charlottenburg-wilmersdorf","f","f-Annette"
"Ariana",4,"charlottenburg-wilmersdorf","f","f-Ariana"
"Caroline",4,"charlottenburg-wilmersdorf","f","f-Caroline"
"Cataleya",4,"charlottenburg-wilmersdorf","f","f-Cataleya"
"Celina",4,"charlottenburg-wilmersdorf","f","f-Celina"
"Christine",4,"charlottenburg-wilmersdorf","f","f-Christine"
"Daniela",4,"charlottenburg-wilmersdorf","f","f-Daniela"
"Dora",4,"charlottenburg-wilmersdorf","f","f-Dora"
"Dorothea",4,"charlottenburg-wilmersdorf","f","f-Dorothea"
"Elina",4,"charlottenburg-wilmersdorf","f","f-Elina"
"Eliza",4,"charlottenburg-wilmersdorf","f","f-Eliza"
"Elsa",4,"charlottenburg-wilmersdorf","f","f-Elsa"
"Esther",4,"charlottenburg-wilmersdorf","f","f-Esther"
"Evelyn",4,"charlottenburg-wilmersdorf","f","f-Evelyn"
"Gabriele",4,"charlottenburg-wilmersdorf","f","f-Gabriele"
"Hira",4,"charlottenburg-wilmersdorf","f","f-Hira"
"Isabelle",4,"charlottenburg-wilmersdorf","f","f-Isabelle"
"Jette",4,"charlottenburg-wilmersdorf","f","f-Jette"
"Karin",4,"charlottenburg-wilmersdorf","f","f-Karin"
"Kira",4,"charlottenburg-wilmersdorf","f","f-Kira"
"Liana",4,"charlottenburg-wilmersdorf","f","f-Liana"
"Lieselotte",4,"charlottenburg-wilmersdorf","f","f-Lieselotte"
"Abdullah",4,"charlottenburg-wilmersdorf","m","m-Abdullah"
"Lilia",4,"charlottenburg-wilmersdorf","f","f-Lilia"
"Ahmed",4,"charlottenburg-wilmersdorf","m","m-Ahmed"
"Lilith",4,"charlottenburg-wilmersdorf","f","f-Lilith"
"Alfred",4,"charlottenburg-wilmersdorf","m","m-Alfred"
"Linda",4,"charlottenburg-wilmersdorf","f","f-Linda"
"Arda",4,"charlottenburg-wilmersdorf","m","m-Arda"
"Lore",4,"charlottenburg-wilmersdorf","f","f-Lore"
"Azad",4,"charlottenburg-wilmersdorf","m","m-Azad"
"Luana",4,"charlottenburg-wilmersdorf","f","f-Luana"
"Bela",4,"charlottenburg-wilmersdorf","m","m-Bela"
